review,rating
it's really fun and gives you a lot of mystery thing❤️,4
child hood favorite game,5
I LOVE IT SO MUCH,5
Not as good as before the update that changed the event system.,3
I love that game a lot,5
can I get another mission. .,5
subway surfers is Amazing game 🎮,5
best childhood game,5
"Actually,I am playing this game for over 10 years and I AM FEELING LIKE, it's soo good bro I wish I had this game forever ♾️ SYBO games how u made dis game endless dats the question I am asking And pls can u gift me boombox or if u can't it's ok!😊",5
had game for years. now tired of ads you get stuck in time to delete. I won't be back. jerks!,1
The best game for me,5
it's the best game,5
good but u can also give more keys while running ok but v good,3
the best game I've played so far,5
subway surfers is great! you get to explore different challenges and other updates i recommend if you have good reflexes!,4
best game in the world,5
most fun game. l really happy,5
this game is very nice buh i don't know how to connect it with my neighbors and play,5
very nice looking 👌,5
great game,5
"can't describe in 500 words sorry limitless , good , fun game in 100 mb",5
best of game ever it's my favourite I like this game a lot,5
can you play this game with me,5
I love subway surfers. this is my best game in the world,5
the best game I am in the highest score,5
great game,5
Great game,2
Been playing for a decade. I always download this every time I get a new phone. I'm thankful I can retrieve my game data.,5
I like this game,5
this is a very cool game guys u must install I really enjoyed nice game U CAN PLAY IT OFFLINE 💕💕,5
this is one of the best games......,4
"It's frankly remarkable. However, it's quite unfortunate that you can't log into your account. I recently purchased a new device since my previous device is quite slow. Unfortunately, I can't log into my account, which had practically all the characters, even the limited ones.",4
"I once lost my data and had to start all over again, nevertheless it is still a great game especially with the seasonal updates.",4
my favorite childhood game,5
i like it soooo muchh this game is a masterpiece 💗😍👍🏻,5
this game is better than other apps,5
I'm not on the leaderboard yet I have 200 trophies 😡😡😡,3
I have been playing sybo. however right know I hate it because it changed a lot and forget old quality 😔. I fell very upset. I deleted already. pls see my feedback write something.,1
Nice but not as I think,1
it is nice game iam play this game every day it used app without net 🥅 love this game so happy play this game and our time pass I have many key in this game s186 key are I have ok y cousins play this game and it is telle about this game and prize are very amazing 😍🤩 🤩😍😍😍😍🤩😍🤩🤩😍🤩🤩🤩🤩🤩😍🤩🤩🤩🤩🤩🤩🤩🤩 ok thanks,5
i love this games,5
"it's really good running game I am playing this till 6 years old the graphics are good but I cut 1 star for this the old music is very good with that music the game is good please bring old music again and bring some anime updates because I am anime lover like jjk, Naruto and bring new words of anime characters name please these are my 2 request",4
Hello sybo team i wanted to tell u that I'm trying to install ur new update but it is not updating fix this pls I want to play But it is not updating pls fix this issue I'm not able to update the game fix this that's all I could share I played ur game back few yrs too then I was happy but now I'm sad pls fix i couldn't update the game And pls give more than 3 tickets in the showdown event and I saw that total no of surfers and boards is 512 something how's that possible fix now,4
its challenging 💪🏻,5
it not worth it,1
I love this game because it make me fresh up ❤️,4
One of the best games I have ever played!!!,5
ss amazing Game how try now,5
Absolutely fantastic and amazing!,5
5 days WATCHING ME TAK3 🥇🥇 FRIST . BET... ILL BE TOP 3RD ...,5
very addictive,5
ye game bhut hi mjedar h kyoki isme hame ye bhi rhta h ki is bar aur acha score bnaye graphics bhi awesome h,4
It's a good game,5
LOVE♥️ the game,5
This game was very much good,5
Excellent game and is very good for entrainment purpose ❤️❤️👍👍😊😊,5
this app is great,3
this game has been with us since we were little there is nothing to complain about.,5
"here I was thinking this is the best game on the internet but guess what.... this is the most frustrating game app why would ads take you to a new app when trying to continue your game. guess what when you quickly return to your game app, your game is void. points, coins, gifts all gone. your keys, board and booster used in playing the game are irreversible",1
best wishes for subway suffer,5
next update have to Shenzhen showdown please sybo,5
its the best game,5
I love this game. I play this game from when I was five or six. Now I am 12 and I still love this game,5
report this game time wast,1
np one can get bored it's very fun,5
I've been playing this game for like 8 years now with all update coming with new features like the game is really really nice with so many characters overall Subway surfers will be one of the most best game I have ever played 👍👍,5
I like this game because it has no end and make the game harder and harder,5
"""Subway Surfers"" it is a amazing game with colourful background♥️",5
it's very nice am now one of the top runners,5
"I'm sick and tired of losing my progress on the app. I've gotten new characters, boards, and spent hours of time, only to wake up this morning and see beginner's mode. And I'm using my game account on Google. It's disheartening. Edit 2026: it happened again. And this time after 6+ hours per day for over three weeks. I'm done. I'm completely done. I will never download this game again. thought maybe the issue had been something I did, or I was at fault for some reason. No. Subway Surfers sucks",1
"In the 20 day event that is going on, there was a frame prize in which I had the highest and I was in the first position, even after 20 days I did not get it, you people have done fraud.",1
this is poop game,5
my all time favourite game,5
"This game used to be amazing, but recent updates are very disappointing. Rome, Ireland, and Tokyo feel boring and low effort compared to old updates like Space station, Underwater etc. Removing the cloudy sky from Easter Ireland completely destroyed the vibe. It made the map special — without it, the whole feel is gone and it honestly ruined my experience. 😞 Now the game feels boring and recycled. Many players are losing interest. Please bring back creativity and the old Subway Surfers feel.",1
I like that game it was fun,5
I love this game it's my favorite 😍,5
this is the best game!!! ♡♡♡♡♡♡♡♡♡♡♡♡♡♡,5
best game bahut accha game hai,5
it was so fun,4
great game,5
have ads don't Install,1
this is the best game of 90s and all of time,5
It is my fist game. when my father buy a new phone. It is the game I damlowd,4
This is very nice game .It's so relaxing 😎😎😎,5
best game 😎 offline and online dono 👌🏻,5
Your RUN TO ESCAPE COP RUN!!!!,5
I like this game I'm new but when I play the game it's fun very elitely legendly epecily fun if you made some updates it will be good,5
Second Time my I'd reset without any reason. And No one Helping me .,1
it will come when i try to score full while playing the three train is come on the path of rail 🪜so I hate this,3
this game so nice that I can't stop playing this game and thank for the updates and keep uploading update like this.,5
tough,4
good 👍👍👍👍👍good play this game,5
"Game is fun, but SubwaySurfers league is an opportunity for gamers.",5
I like runner game this is so good game,5
this game is my childhood i love it i do have a request tho ; could u guys maybe add rhe most popular anime characthers ik someone said that but i think we can add more but i will give it 4star love yall Mori edit : i love that you added naruto and okarun with someone in attack of titan 😅,5
mast game wo bhi offline 👍👍👍,5
SYBO Subway Surfers Pless🙏Next Update 11 MAY DUBAI🇦🇪EMIRATES🇦🇪2026.,5
i genuinely like this game,5
Although it is a good game but recently All my progress was lost like I have many cracters and boards unlock and now they are all reset and I had like 1k+ hoverbords and now it is gone in an instant.and it kept going again and again keep reseting my progress I am not playing it again ever i will reconsider if there is a strong response from support or else,1
it is very super,5
very nice game and best 💯/💯,4
it is a og game 200 people assemble they will help me say how good this game is,5
This game kept me alive,5
"new update for this game, and I appreciate it",5
Tha game is very good and the collect goggles gift card❤️,5
very bad game,5
very nice game but very fast update 😃,5
I honestly just love this game it's free it's awesome! you don't need wifi I just love it,5
subway surfers india game,5
One particular Facebook ad is preventing all other ads from running so when my runner crashes I can't save it.,1
this is the best game I ever played I really love this game but there is a downside there are too many ads and I don't have a real money irl so I can't get rid of the ADS please sybo remove ads from the game please,5
it's good,5
it is fun and enjoyable 😌,5
I love to play it 5 stars,5
i love this game,5
"it is just so fun, you could never EVER get bored.",5
"naw, I love this game sooooooooooooooo much like I rly value this game cs it's rly fun to me and others.",5
Love it,5
I enjoy this game everyday 💪,5
I really enjoyed this game,5
"I have been playing Subway Surfers for eight years , and it never gets old! This game is the perfect time killer with its fast-paced, endless running gameplay and vibrant graphics.There should be a option to login again in case of buying or uninstalling the game just like yesterday I bought a new phone now I started it again so please add an option to login. And Pls don't show ads of Gambling, Daraz or irrelevant.",5
"normally I really like this game oh. But it resets and wipes all your progress randomly. It happened to my brother, my friend, now me. it's very painful. All my Progress and achievements GONE. I don't know what's wrong but PLEASE fix it.",3
not a fan 😕,1
The game is already too hard.,4
